name,date
H5N1|A/turkey/Denmark/00998-5/2024|EPI3091454|2024-02-04,2024.2.4
H5N1|A/snow_goose/Arkansas/AR24-104/2024|EPI4100423|2024-12-06,2024.12.6
H5N1|A/chicken/Egypt/NVH5N1B/2024|EPI3851332|2024-01-12,2024.1.12
H5N1|A/chicken/Czech_Republic/15910-4/2024|EPI3679982|2024-10-22,2024.10.22
H5N1|A/sanderling/Massachusetts/014126-059/2024|EPI3979913|2024-04-05,2024.4.5
H5N1|A/turkey/USA/24-028305-002/2024|EPI3599370|2024-09-24,2024.9.24
H5N1|A/bald_eagle/Georgia/W24-1067/2024|EPI4100631|2024-12-13,2024.12.13
H5N1|A/swan/Croatia/V-127-24_25VIR117-17/2024|EPI3861518|2024-11-20,2024.11.20
H5N1|A/EuropeanHerringGull/France/24P015392/2024|EPI3651338|2024-08-16,2024.8.16
H5N1|A/Mute_Swan/Germany-MV/2024AI03518/2024|EPI3688004|2024-07-19,2024.7.19
H5N1|A/white-winged_scoter/Massachusetts/014126-002/2024|EPI3980033|2024-02-27,2024.2.27
H5N1|A/American_wigeon/North_Carolina/24-001600-017-original/2024|EPI3656357|2024-01-06,2024.1.6
H5N1|A/bald_eagle/Massachusetts/014126-048/2024|EPI3979937|2024-03-27,2024.3.27
H5N1|A/Cackling_Goose/BC/AIVPHL-2520/2024|EPI3631399|2024-10-18,2024.10.18
H5N1|A/canada_goose/Massachusetts/014126-027/2024|EPI3980783|2024-02-14,2024.2.14
H5N5|A/Crow/Norway/2024-07-2937-4/2024|EPI3650267|2024-10-31,2024.10.31
H5N1|A/chicken/USA/24-037219-031/2024|EPI3742852|2024-12-10,2024.12.10
H5N1|A/duck/Utah/24-035686-002/2024|EPI3823577|2024-11-27,2024.11.27
H5N1|A/chicken/USA/24-031666-032/2024|EPI3649848|2024-10-25,2024.10.25
H5N1|A/turkey/South_Dakota/24-036334-001/2024|EPI3884880|2024-12-05,2024.12.5
H5N1|A/mute_swan/Italy/24VIR9502-2/2024|EPI3637533|2024-10-28,2024.10.28
H5N1|A/chicken/Italy/24VIR11614-1/2024|EPI3849275|2024-12-30,2024.12.30
H5N1|A/Canada_Goose/BC/AIVPHL-2530/2024|EPI3631375|2024-10-14,2024.10.14
H5N1|A/mute_swan/Italy/24VIR10210-2/2024|EPI3679125|2024-11-13,2024.11.13
H5N1|A/chicken/Wisconsin/24-037974-001/2024|EPI3901753|2024-12-17,2024.12.17
H5N1|A/mute_swan/Slovakia/Vh-2083/2024|EPI3766432|2024-10-26,2024.10.26
H5N1|A/Barnacle_Goose/Netherlands/25002058-002/2025|EPI4006256|2025-01-27,2025.1.27
H5N1|A/Red_Tailed_Hawk/BC/AIVPHL-1990/2024|EPI3484740|2024-02-06,2024.2.6
